userId,movieId,rating
111,72998,2
274,72998,3
246,72998,4
291,72998,5
159,72998,4
599,72998,2.5
464,72998,5
247,72998,2
380,72998,3
103,72998,3
106,72998,5
154,72998,5
47,72998,2.5
432,72998,4
475,72998,4.5
596,72998,3
339,72998,3
525,72998,3
292,72998,4
483,72998,4.5
52,72998,4.5
306,72998,3.5
459,72998,5
401,72998,3
393,72998,0.5
448,72998,3
522,72998,1
141,72998,2.5
288,72998,4
489,72998,1.5
210,72998,5
153,72998,1
414,72998,4
279,72998,2
73,72998,3.5
434,72998,5
83,72998,4.5
125,72998,4.5
308,72998,4
50,72998,2
249,72998,4
122,72998,4.5
104,72998,3
68,72998,5
357,72998,4
352,72998,5
490,72998,3
318,72998,3.5
590,72998,3.5
556,72998,4
320,72998,4
10,72998,2.5
520,72998,4.5
282,72998,4
377,72998,4.5
443,72998,3
567,72998,1
18,72998,4
365,72998,4
15,72998,3
519,72998,4
381,72998,4.5
253,72998,2
232,72998,4
586,72998,4
534,72998,3
112,72998,4
477,72998,4
212,72998,3
495,72998,5
351,72998,2.5
148,72998,4
606,72998,3
328,72998,3.5
305,72998,4.5
62,72998,4
80,72998,4
22,72998,3.5
233,72998,2.5
177,72998,2.5
601,72998,4
28,72998,5
573,72998,5
332,72998,4
139,72998,1.5
256,72998,4.5
119,72998,5
605,72998,3.5
105,72998,4
543,72998,5
537,72998,5
561,72998,3
610,72998,4.5
298,72998,3
334,72998,3.5
21,72998,4
551,72998,3.5
332,53125,4
414,53125,2
401,53125,3.5
361,53125,4
380,53125,3
610,53125,3.5
339,53125,3.5
381,53125,4
18,53125,3.5
420,53125,3.5
21,53125,4
606,53125,2
352,53125,4
393,53125,5
292,53125,3
248,53125,4
45,53125,4
105,53125,4.5
68,53125,4.5
200,53125,4
274,53125,3.5
103,53125,4.5
249,53125,3.5
212,53125,3
104,53125,3
73,53125,4.5
506,53125,0.5
177,53125,4.5
307,53125,3.5
139,53125,2
537,53125,5
125,53125,4
106,53125,5
111,53125,3.5
573,53125,4.5
226,53125,2
466,53125,4
570,53125,3
509,53125,3.5
219,53125,4
298,53125,2.5
517,53125,2.5
489,53125,2
63,53125,3.5
232,53125,3.5
605,53125,2.5
534,53125,3.5
490,53125,2
239,53125,4
448,53125,2
288,53125,2.5
62,53125,4.5
599,53125,2.5
246,53125,4.5
590,53125,2
600,53125,4
517,136020,1
567,136020,1
298,136020,2.5
560,136020,2.5
408,136020,4
418,136020,0.5
341,136020,4.5
10,136020,5
305,136020,3
62,136020,4.5
448,136020,3
50,136020,2
380,136020,4
551,136020,4.5
610,136020,3.5
561,136020,2.5
21,136020,4
408,93363,4
448,93363,2
534,93363,4
352,93363,2
292,93363,3.5
509,93363,3.5
610,93363,3.5
556,93363,4
249,93363,3.5
567,93363,1
298,93363,3
534,52722,3.5
590,52722,3
239,52722,3.5
509,52722,1
288,52722,3.5
62,52722,4
489,52722,2.5
210,52722,4
232,52722,3
475,52722,4.5
307,52722,3.5
73,52722,5
339,52722,3.5
177,52722,1
274,52722,3.5
523,52722,4.5
606,52722,2
610,52722,3.5
246,52722,3
354,52722,4
573,52722,2.5
219,52722,2.5
596,52722,2.5
477,52722,3.5
387,52722,3.5
414,52722,3
249,52722,3.5
104,52722,3
114,52722,4.5
567,52722,2.5
483,52722,1.5
298,52722,2.5
561,52722,2
599,52722,2.5
466,52722,3.5
393,52722,2.5
400,52722,2.5
51,52722,3.5
448,52722,3
119,52722,3.5
68,52722,3
381,52722,1
380,52722,3
139,52722,1
382,81847,4.5
177,81847,5
111,81847,1.5
252,81847,4
98,81847,4.5
105,81847,4
401,81847,4
68,81847,4
509,81847,4
567,81847,2
328,81847,2
484,81847,5
344,81847,4
52,81847,4
306,81847,4
534,81847,4.5
525,81847,3.5
104,81847,4
10,81847,3.5
292,81847,3
586,81847,4.5
246,81847,5
148,81847,4.5
143,81847,5
448,122892,3
475,122892,4
73,122892,5
21,122892,3.5
18,122892,3.5
154,122892,5
393,122892,5
63,122892,4
125,122892,3
534,122892,3.5
153,122892,0.5
567,122892,2
139,122892,2
298,122892,3.5
184,122892,3.5
62,122892,4
525,122892,2
380,122892,5
305,122892,3
291,122892,4
610,122892,4
599,122892,2.5
212,122892,4
249,122892,4.5
596,122892,3
509,122892,4
550,122892,4
490,69844,3
426,69844,5
466,69844,4.5
213,69844,2.5
291,69844,5
380,69844,4
556,69844,3.5
232,69844,3.5
62,69844,4.5
212,69844,3.5
582,69844,4.5
352,69844,4
247,69844,5
590,69844,4
177,69844,5
154,69844,5
141,69844,4
491,69844,5
205,69844,4
414,69844,3.5
358,69844,3.5
114,69844,2
319,69844,4.5
103,69844,1.5
111,69844,4
298,69844,3
318,69844,3.5
538,69844,4
328,69844,4
525,69844,4
382,69844,4.5
596,69844,3.5
68,69844,4
357,69844,4.5
475,69844,5
605,69844,4.5
365,69844,2.5
610,69844,4
292,69844,4
105,69844,4
10,69844,3
537,69844,4
381,69844,5
190,69844,5
139,69844,3
274,69844,3.5
418,69844,3
21,69844,4
249,69844,4
106,69844,5
148,69844,4
210,69844,4.5
517,69844,3
83,69844,3.5
305,69844,3
483,69844,4
606,69844,4
339,69844,2.5
567,136864,1.5
534,136864,1.5
247,136864,2.5
514,136864,2.5
319,136864,4.5
610,136864,3.5
380,136864,2
62,136864,4
41,136864,0.5
125,136864,2.5
561,136864,2
305,136864,2
596,136864,3
184,136864,2
448,136864,2
50,136864,1.5
7,46530,1
68,46530,4.5
166,46530,5
517,46530,2.5
380,46530,3
239,46530,3.5
596,46530,2.5
480,46530,3
292,46530,4
474,46530,2.5
610,46530,3.5
542,46530,3
534,46530,2.5
590,46530,3
139,46530,0.5
232,46530,3
381,46530,3.5
219,46530,2.5
580,46530,3
122,46530,4
414,46530,4
448,46530,2.5
605,46530,3
477,46530,4.5
599,46530,3
610,63113,3.5
590,63113,3
525,63113,3
80,63113,4.5
28,63113,3
551,63113,4
220,63113,3.5
122,63113,4.5
24,63113,3
517,63113,0.5
62,63113,4.5
414,63113,4
21,63113,3.5
52,63113,4
382,63113,3.5
211,63113,4
249,63113,3.5
246,63113,4.5
448,63113,3.5
534,63113,3.5
318,63113,3
599,63113,2.5
105,63113,4
339,63113,4
292,63113,4
68,63113,3
139,63113,3
331,63113,3
119,63113,4
298,63113,1.5
522,63113,4.5
520,63113,2.5
380,63113,4
10,63113,3.5
274,63113,3.5
318,45722,3
167,45722,3.5
307,45722,3.5
415,45722,2.5
298,45722,2.5
523,45722,4.5
232,45722,3.5
606,45722,2
580,45722,4.5
308,45722,3
219,45722,3
125,45722,3.5
332,45722,3.5
434,45722,1.5
605,45722,3
445,45722,3
292,45722,4
480,45722,3.5
239,45722,3.5
301,45722,3.5
339,45722,3
534,45722,4
274,45722,3
401,45722,3.5
474,45722,3.5
288,45722,3
328,45722,3.5
18,45722,4
475,45722,4.5
573,45722,5
220,45722,4
599,45722,2.5
537,45722,5
381,45722,3.5
132,45722,3
570,45722,4
593,45722,1
226,45722,2.5
448,45722,2.5
63,45722,4
103,45722,4
477,45722,3
600,45722,4
249,45722,3.5
246,45722,4.5
483,45722,3.5
248,45722,4
139,45722,2.5
68,45722,4.5
106,45722,5
466,45722,4.5
590,45722,3
365,45722,2.5
129,45722,4
62,45722,4.5
393,45722,5
525,45722,2
177,45722,3
230,45722,5
73,45722,4
610,45722,3.5
560,45722,3.5
200,45722,5
380,45722,5
517,45722,3.5
495,45722,1
414,45722,3.5
105,45722,4
111,45722,3
540,45722,4
509,45722,3.5
280,45722,3.5
567,103042,2
62,103042,3.5
561,103042,3
599,103042,2.5
551,103042,4
305,103042,4
249,103042,4
596,103042,3
610,103042,3
509,103042,3.5
534,103042,3
382,103042,4
448,103042,2.5
475,103042,4
68,103042,4.5
122,103042,4
408,103042,4.5
298,103042,2.5
380,103042,3
184,103042,3
339,103042,2.5
292,103042,2.5
